triple#	label	id	note	disposition	disposition 2	
9802	blood serum specimen	OBI_0100017	PRS:19032008-moved under entity of organismal origin ->modification to definition to reflect change + addition of pubmed based example	delete		
3854	BrdU incorporation assay	OBI_0000664	2/26/09: RESOLVE: molecular entities should be replaced by Brdu	todo		TODO
15476	bronchial alveolar lavage	OBI_0100067	PRS:22-02-2008: output role in protocol application lavage and need to submit protocol application	delete		
16625	Bruker 1mm MicroProbe	OBI_0000590	nmr probe	separate		
3838	Bruker AC series NMR instrument	OBI_0000541	NMR instrument	separate		
17503	Bruker AMX series NMR instrument	OBI_0000514	NMR instrument	separate		
11257	Bruker AutoClean system	OBI_0000475	"washing system/NMR tube washing system, XPS: device has function washing"	user		TODO: XPS add restriction or delete
16958	Bruker B-ACS system	OBI_0000492	NMR instrument	separate		
18114	Bruker BEST NMR system	OBI_0000591	NMR instrument	separate		
7452	Bruker Capillary LC-NMR platform	OBI_0000553	NMR instrument	separate		
9399	Bruker CryoProbe	OBI_0000531	nmr probe	separate		
18831	Bruker high resolution probe	OBI_0000480	nmr probe	separate		
4168	Bruker LC-NMR platform	OBI_0000503	NMR instrument	separate		
10527	Bruker LC-NMR/MS platform	OBI_0000582	NMR instrument	separate		
6834	Bruker MATCH tube holder system	OBI_0000612	NMR instrument	separate		
10855	Bruker Metabolic Profiler	OBI_0000632	NMR instrument	separate		
12860	Bruker micro imaging probe	OBI_0000620	nmr probe	separate		
18980	Bruker NMR Case sample changer	OBI_0000473	NMR instrument	separate		
14398	Bruker NMR instrument	OBI_0000596	NMR instrument	separate		
15825	Bruker NMR magnet	OBI_0000597	NMR instrument	separate		
16888	Bruker NMR probe	OBI_0000561	"NMR device, TODO: May need no definition."	separate		
6975	Bruker SampleJet system	OBI_0000624	NMR instrument	separate		
4960	Bruker SampleRail system	OBI_0000544	NMR instrument	separate		
835	Bruker solid magic angle spinning probe	OBI_0000629	nmr probe	separate		
2466	Bruker SPE-NMR platform	OBI_0000613	NMR instrument	separate		
3109	Bruker UltraShield NMR magnet	OBI_0000567	NMR instrument	separate		
5259	Bruker UltraShield Plus NMR magnet	OBI_0000530	NMR instrument	separate		
3585	Bruker Ultrastabilized NMR magnet	OBI_0000575	NMR instrument	separate		
3534	Bruker US 2 NMR magnet	OBI_0000467	NMR instrument	separate		
2430	capsule shell	OBI_0000798	2009/09/28 Alan Ruttenberg. Fucoidan-use-case	separate		
2431	capsule shell	OBI_0000798	2009/09/28 Alan Ruttenberg. This class is a class that should be added to OBI. It was motivated by the Fucoidan trial use case	delete		
11016	CD8 receptor	OBI_1110132	"This term does not belong in ONTIE.  It should be imported from PRO, but there seems to be no appropriate term as of 08/17/2009."	user		TODO: tracker for BP
12092	cDNA library	OBI_0000164	"PRS: 22022008. class moved under population,\nmodification of definition and replacement of biomaterials in previous definition with 'material'\naddition of has_role restriction"	separate		
13102	cell culture supernatant	OBI_1000023	PRS:22022008: moved from _unclassified to _a defined class is needed following BM call	delete		
13103	cell culture supernatant	OBI_1000023	PRS:22022008. result from protocol_application where input=cell culture and output=supernatant	delete		
11779	cell fixation	OBI_0600021	we could generalize this for other input materials	separate		
11783	cell fixation	OBI_0600021	should include capturing what qualities are being preserved	user		
5804	cell lysate	OBI_1000036	PRS:22-02-2008: is a material which has output_role during lysis protocol-application. \nold defintion: A mixture (collection) of cell components created by rupturing of the cell wall resulting from a lysis process	user		TODO: add restrictions
9534	cell lysis	OBI_0302894	"BP, JG, RV: There is also a need for the unplanned cell lysis, which is probably not in the scope of OBI, but should be linked to from this process."	user		TODO: tracker for BP: if still needed submit. Otherwise separate
11033	cell of organismal origin	OBI_0100052	rem1:link to Cell Type Ontology (CO)	separate		link how?
12780	cell permeabilization	OBI_0600033	"definition blessed by Jay, Alan, Randi"	separate		TODO definition editors
12790	cell permeabilization	OBI_0600033	need to add output cell has_quality permeable	user		TODO
5010	cell sorter collection tube	OBI_0400020	DS: a collection tube is no instrument. This is yet another example of distorted is_a and part_of hierarchy...\npart_of fluidic_subsystem	delete		
1681	centrifuge pellet role	OBI_0000029	20 Feb 2009; changed definition to this: pellet role is a role which inheres in a material entity and is realized by a material separation process using gravitational force in which the material bearing the pellet role is the heavier or heaviest component of the output material.	delete		
1683	centrifuge pellet role	OBI_0000029	9Mar09 after discussion with process branch changed definition to include use of centrifuge;	separate		
1242	cervical dislocation	OBI_0302896	PRS:21102008: Input must be restricted to Vertebrates (requires import from NCBI tax)	user		TODO
2699	chart recorder	OBI_0000605	chromatography device	separate		
11092	chimera	OBI_0100014	DS: Is a chimaera a natural_biomaterial? Not sure here.	user	delete	delete - we don't have natural biomaterial anymore
15348	chromatography	OBI_0600046	"Jay/Bjoern think this is problematic.  There are so many different types of chromatography.  This term may be overloaded.  May be best to define each type separately underneath material_separation.  Also, example seems to be an assay."	user		
2181	chromatography consumable	OBI_0000601	chromatography device	separate		
14750	chromatography instrument	OBI_0000485	"chromatography device, defined class?"	separate		
20546	chromatography splitter	OBI_0000619	chromatography device	separate		
6461	clinical chemistry assay	OBI_0000520	"3/26/09: There needs to be a restriction set that specifies which type of evaluants are used in the assay, somewhere along the lines of 'sample derived of bodily fluid'"	user		TODO: explain?
16583	clinical diagnosis	OBI_0600003	(maybe CIO)	separate		
5685	clinical study design	OBI_0500001	MSI	delete		
5689	clinical study design	OBI_0500001	The definition needs to be extended to other things than simply patients	user		
17589	cloning insert role	OBI_0000416	"Feb 20, 2009.  from Wikipedia:  cloning of any DNA fragment essentially involves four steps: DNA fragmentation with restriction endonucleases, ligation of DNA fragments to a vector, transfection, and screening/selection.  There are multiple processes involved, it is not just ""cloning process"""	user		
3467	cloning plasmid	OBI_0000729	Note: 'cloning vector role' is really a function. Should be dealt with globally	user		TOD: tracker item
1102	cluster	OBI_0000251	generically_dependent_continuants	delete		
6363	clustered data set	OBI_0000648	AR thinks could be a data item instead	separate		TOD: resolve - workshop?
9142	collection (of entities of organismal origin)	OBI_0302714	added during 22-02-2008 biomaterial call to distinguish library and population	user		
9146	collection (of entities of organismal origin)	OBI_0302714	"PRS: How can we distinguish with 'collection' as the process of collecting entities, (eg. data collection, urine collection)"	separate		
11151	column adapter	OBI_0000594	chromatography device	separate		
8028	column cartridge	OBI_0000532	"chromatography device, check on definition !"	separate		TODO
13214	column cartridger	OBI_0000549	check on definition !	todo	separate	TODO
18647	column chromatography detector	OBI_0000463	"chromatography detector, defined class/xps"	todo	separate	TODO
9110	column compartment	OBI_0000545	"device compartment, snap:ObjectBoundary:object_boundary, snap:Site:site"	delete		
5172	column connector	OBI_0000478	chromatography device	separate		
813	column frit	OBI_0000602	chromatography device	separate		
3424	column jacket	OBI_0000508	chromatography device	separate		
15393	Compensation-ML	OBI_0000329	XML_file	delete		
10199	compliance rule	OBI_0500023	MSI	delete		
5609	continuous wave NMR instrument	OBI_0000486	NMR instrument	separate		
2300	controlled variable specification	OBI_0000785	2009-03-16: work has been done on this term during during the OBI workshop winter 2009 and the current definition was considered acceptable for use in OBI. If there is a need to modify thisdefinition please notify OBI.	separate		
2301	controlled variable specification	OBI_0000785	"2/2/2009 Original definition: Controlled variables are also important to identify in experiments. They are the variables that are kept constant to prevent their influence on the effect of the independent variable on the dependent. Every experiment has a controlling variable, and it is necessary to not change it, or the results of the experiment won't be valid"	user		separate - confusing for user. Or explain why change
2304	controlled variable specification	OBI_0000785	2/2/2009 part of a study specification. Should study specification be part of IAO? Or should this term be part of OBI?	separate	delete	has been going both ways - delete
3507	cross over design	OBI_0500003	MSI	delete		
3517	cross over design	OBI_0500003	Replace patient or subject (keep track of this in the definition): DONE	delete		
3973	data encoding	OBI_0000227	We (protocol application branch) placed this term because it kept getting bounced from data transformation and DENRIE	separate		
12597	data representational model	OBI_0000658	2009-02-28: work on this term has been finalized during the OBI workshop winter 2009	separate		
9634	data visualization	OBI_0200111	Possible future hierarchy might include this:\ninformation_encoding\n>data_encoding\n>>image_encoding	separate		TODO: tracker to work on this
3172	dependent variable specification	OBI_0000751	"2/2/2009 In the design of experiments, independent variables are those whose values are controlled or selected by the person experimenting (experimenter) to determine its relationship to an observed phenomenon (the dependent variable). In such an experiment, an attempt is made to find evidence that the values of the independent variable determine the values of the dependent variable (that which is being measured). The independent variable can be changed as required, and its values do not represent a problem requiring explanation in an analysis, but are taken simply as given. The dependent variable on the other hand, usually cannot be directly controlled."	user		
3173	dependent variable specification	OBI_0000751	2009-03-16: work has been done on this term during during the OBI workshop winter 2009 and the current definition was considered acceptable for use in OBI. If there is a need to modify thisdefinition please notify OBI.	separate		
3174	dependent variable specification	OBI_0000751	2/2/2009 part of a study specification. Should study specification be part of IAO? Or should this term be part of OBI?	separate	delete	see above - delete
20314	detector reagent role	OBI_0000091	19feb2009.  not clear we need this term.  originally if came from microarrays -- the probes on the array are termed detectors in some instances	user		TOOO: tracker
7057	device setting	OBI_0000654	"This class is located in the instrument branch owl file. It is a result of discussions at the OBI winter workshop 2009. Further details can be found in the ppt presentation for the instrument branch in OBI svn. We definately know it is a dependent continuant, it could be a quality and therefore its position in the hierarchy will probably evolve."	user	delete	"delete - it has been moved under quality, and branch file irrelevant now"
13139	diagnosis textual entity	OBI_0000075	The act or process of identifying or determining the nature and cause of a disease or injury through evaluation	delete		TODO: copy as definition
20773	direct detection NMR probe	OBI_0000491	NMR device	separate		
16222	DISCOVERY console	OBI_0000513	NMR instrument/NMR console	separate		
1415	DNA ligase	OBI_0000698	5/22 Need to explore if there are GO / other classes exist that capture this. We need it now for cloning experiments	user		TODO: tracker for BP
17768	DNA microarray	OBI_0400148	DS: DNA-Microarray can't be an exact alternative term. Its more a specification/subclass of it.	user	delete	delete. There is no such al term on this class
1112	DNA sequence feature detection	OBI_0000433	should be a defined class where interpretation of data generated by assay qualifies a DNA sequence	user		TODO:tracker for BP
9355	DNA sequencer	OBI_0400103	FG: Definition normalised from raw import. AL: Typo fixed in definition.	delete		
20206	DNA sequencing by ligation	OBI_0000723	Philippe Rocca-Serra	definition editor	separate	TODO definition editor
10567	DNA sequencing by synthesis	OBI_0000734	Philippe Rocca-Serra	definition editor	separate	TODO - tracker for JM
10454	documenting	OBI_0000340	"6/11/9: Edited at workshop. Should go into IAO. We need to be able identify a child form of information artifact which corresponds to something enduring (not brain like). This used to be restricted to physical document or digital entity as the output, but that excludes e.g. an audio cassette tape"	user		TODO: IAO tracker
10459	documenting	OBI_0000340	2/26i/09: RESOLVE: We need to clarify what 'digital entity' is before this is ready for release. Should be any kind of file / database record etc. that can hold an information entity.	delete		
17250	double blind study execution	OBI_0000793	2009/09/28 Alan Ruttenberg. Fucoidan-use-case	separate		
17251	double blind study execution	OBI_0000793	2009/09/28 Alan Ruttenberg. This class is a class that should be added to OBI. It was motivated by the Fucoidan trial use case	delete		
12140	droplet sorter	OBI_0400153	"The instrument branch needs to identify parts of instruments. The above def is needed to disambiguate between flow cytometer and flow cytometer sorter.\nThe part between () is optional. A flow cytometer sorter has all the parts a flow cytometer has and is also has a ""droplet sorter"""	user	delete	delete FC and FCS have corresponding restrictions
6996	dropout role	OBI_0000205	Rat which escapes part way through a study; a human study participant who moved to another city before the study was completed (and stopped participating in the study)	user		example of usage?
19144	dye swap design	OBI_0500017	MO	delete		
9041	edge weighting	OBI_0200070	was classified under algorithm class which is not acceptable super-class\nTO BE DEALT WITH STILL BY RICHARD.  JAMES	todo	separate	TODO - tracker for JM
1267	electrophoresis	OBI_0600053	"Need to define more terms like gel_separation, matrix,centrifugation, and the connection between the force used to separate materials and the medium or barriers."	separate		
15142	eligibility rule	OBI_0500026	MSI	delete		
948	ELISA	OBI_0000661	"It is possible to add further restrictions, such as utilizing a plate as part of the assay."	user		TODO tracker
21136	ELISPOT assay	OBI_0600031	"2/26/09: RESOLVE: we need to specify the produced substance that is desired to be detected. Analyte does not work, as this is not a concentration, and this is not present at the start of the assay."	user		TODO: tracker
17338	eluate	OBI_0000318	need to add restriction to indicate: has_part some (material entity has_role mobile phase)\nneed to add mobile phase as role	user		TODO: tracker
13498	environmental material collection	OBI_0600012	the researcher is very interested in the location	separate		
11587	enzyme	OBI_0000427	MC: known issue: enzyme doesn't classify under material entity for now as it isn't stated that anything\nthat has_part some material entity is a material entity. If we add as equivalent classes to material entity has_part some material entity and part_of some material entity  (each one in his own necessary and sufficient block) Pellet in P3 doesn't cassify any more.	user		TODO typo
7544	ethical standard compliance rule	OBI_0500025	MSI	delete		
4029	evaluant role	OBI_0000067	"Feb 10, 2009.  changes after discussion at OBI Consortium Workshop Feb 2-6, 2009.  accepted as core term."	separate		
4031	evaluant role	OBI_0000067	"Role call - 17nov-08: JF and MC think an evaluant role is always specified input of a process. Even in the case where we have an assay taking blood as evaluant and outputing blood, the blood is not the specified output at the end of the assay (the concentration of glucose in the blood is)"	user		if true add restriction and delete
4035	evaluant role	OBI_0000067	"examples of features that could be described in an evaluant: quality.... e.g. ""contains 10 pg/ml IL2"", or ""no glucose detected"")"	user		
10556	excision	OBI_0600022	"BP: duplicate rdfs:label entry, en"	delete		
17806	exclusion rule	OBI_0500028	MSI	delete		
16755	experimental disease induction	OBI_0600030	could be defined class	separate		
13197	exposure of material to environment	OBI_0600009	"Alan says there will be problmes, e.g. with selection by survival"	separate		
11164	FACS Calibur	OBI_0400036	editor_note pending	todo	delete	delete - editor note not compulsory annotation
15225	factorial design	OBI_0500014	MSI	delete		
11575	FCS	OBI_0000327	analytical_cytology_data_file	delete		
20519	filled capsule	OBI_0000821	2009/09/28 Alan Ruttenberg. Fucoidan-use-case	separate		
20520	filled capsule	OBI_0000821	2009/09/28 Alan Ruttenberg. This class is a class that should be added to OBI. It was motivated by the Fucoidan trial use case	delete		
1429	flow cytometer	OBI_0400044	"DS: Is this class justified? (has currently only one subclass), ask Ryan and Function Branch for differrentiae..."	delete		
10323	flow cytometer analyzer	OBI_0400008	The definitions for leaf node instruments do not currently follow OBO Foundry. They are preliminary solutions and definitions will not get placed on the Modell level.	separate	delete	delete
17775	flow high resolution probe	OBI_0000527	nmr probe	separate		
20061	flow probe	OBI_0000519	NMR device	separate		
12952	fluorescence compensation matrix	OBI_0000213	generically_dependent_continuants	delete		
13547	fluorescent reporter intensity	OBI_0000010	"From the DT branch: This term and definition were originally submitted by the community to our branch, but we thought they best fit DENRIE. However we see several issues with this. First of all the name 'probe' might not be used in OBI. Instead we have a 'reporter' role. Also, albeit the term 'probe intensity' is often used in communities such as the microarray one, the name 'probe' is ambiguous (some use it to refer to what's on the array, some use it to refer to what's hybed to the array). Furthermore, this concept could possibly be encompassed by combining different OBI terms, such as the roles of analyte, detector and reporter (you need something hybed to a probe on the array to get an intensity) and maybe a more general term for 'measuring intensities'. We need to find the right balance between what is consistent with OBI and combinations of its terms and what is user-friendly. Finally, note that 'intensity' is already in the OBI .owl file and is also in PATO. Why didn't OBI import it from PATO? This might be a problem."	separate		TODO: tracker
7755	fluorometer	OBI_0400143	"AL: Original definition_editor was Kevin Clancy, and then I (Allyson Lister) added to it. I changed the editor to OBI, but am not sure if I should have put both our names in."	delete		
7089	fourier transformation NMR instrument	OBI_0000487	NMR instrument	separate		
17946	fractional factorial design	OBI_0500016	MSI	delete		
8618	fragment derived from protein	OBI_0100039	original term: protein fragment split into synthetic polypeptide and fragment derived from protein\nTHE DEFINITION OF THIS SUGGESTS WE COVER THIS ALREADY IN PEPTIDE/POLYPETIDE. DO WE NEED THIS AND CAN WE DEAL WITH IT IN SOME OTHER WAY?  JAMES	user		TODO: add tracker and clean up
8627	fragment derived from protein	OBI_0100039	PRS:22022008. result from protocol_application where input=protein and output=polypeptide or peptide (to capture: derives_from protein)	user		
5522	gas chromatography detector	OBI_0000637	"chromatography detector, defined class/xps"	separate		
2563	gas chromatography equipment	OBI_0000542	will become defined class/xps	separate		
6051	gas chromatography oven	OBI_0000554	gas chromatography equipment	separate		
2089	gas generator	OBI_0000507	gas chromatography equipment	separate		
4763	gas purifier	OBI_0000638	gas chromatography equipment	separate		
234	Gating-ML	OBI_0000330	XML_file	delete		
20930	gene list	OBI_0000118	"kind of report. (alan) need to be careful to distinguish from output of a data transformation or calculation. A gene list is a report when it is published as such? Relates to question of whether report is a whole, or whether it can be a part of some other narrative object."	delete	separate	separate - may want to investigate report thing
9335	genotyping	OBI_0000435	BP: updated definition as suggested by Chris Mungall. Also removed duplicate restrictions (achieves planned objective supercedes the realizes  /concretization of / plan specification  bit.	delete		
12720	graeco latin square design	OBI_0500012	only 2 articles in pubmed ->probably irrelevant	separate		
12722	graeco latin square design	OBI_0500012	MSI	delete		
3614	guard column	OBI_0000614	chromatography device	separate		
12962	has grain	OBI_0000643	"Discussion in Karslruhe with, among others, Alan Rector, Stefan Schulz, Marijke Keet, Melanie Courtot, and Alan Ruttenberg. Definition take from the definition of granular parthood in the cited paper. Needs work to put into standard form"	user		
2094	has_specified_input	OBI_0000293	8/17/09: specified inputs of one process are not necessarily specified inputs of a larger process that it is part of. This is in contrast to how 'has participant' works.	user		
9521	heart	OBI_0000442	MC: should be imported	user		
20819	high resolution magic angle spin probe	OBI_0000607	nmr probe	separate		
1022	high resolution probe with automatic tuning and matching	OBI_0000616	nmr probe	separate		
11769	histological sample preparation	OBI_0000341	BP added following request from biomaterial branch.	delete		
18618	histology	OBI_0600020	"need to incorporate parts\n---\nThis is a very vague term, it should be in the same place as transcriptomics, proteomics metaboloimcs. It is the 'study' of tissues, not the process of studying tissues\n"	separate		
18626	histology	OBI_0600020	PRS:20090901: addition of alternative term = histopathology	separate		
17675	hospital	OBI_0000844	Helen and Alan modified the wording from the wordnet definition	separate		TODO: check if def editor
17676	hospital	OBI_0000844	2009/09/28 Alan Ruttenberg. Fucoidan-use-case	separate		
17680	hospital	OBI_0000844	2009/09/28 Alan Ruttenberg. This class is a class that should be added to OBI. It was motivated by the Fucoidan trial use case	delete		
18100	host of immune response role	OBI_1110083	vertebrata may need to be relaxed to allow for other multicellular organisms	user	delete	delete - no more mention of vertebrata at this class
11323	host role	OBI_0000725	"30Mar09 virus reproducing inside a cell; bacteria causing a disease, host can be harmed or not.  we want to avoid a cat sitting on my lap and an animal care technician; these are not examples or hosts; dental cares = on tooth, but part of outer layer of tooth, so covered by ""within"" in the definition"	user		
4778	human antithrombin-III (AT-III) in blood assay	OBI_0000787	2009/09/28 Alan Ruttenberg. This class is a class that should be added to OBI. It was motivated by the Fucoidan trial use case	delete		
20425	human subject enrollment	OBI_0600004	"As with group assignment, should the specified output here be an organism which bears a role"	user		
20428	human subject enrollment	OBI_0600004	criteria come from plan / clinical trial branch	separate		
13921	hybridization chamber	OBI_0400110	MC: should be chamber with role hybridization?	delete		
12509	hybridization station	OBI_0400111	MC: should be a station with role hybridization?	delete		
13695	hyper graeco latin square design	OBI_0500013	MSI	delete		
13696	hyper graeco latin square design	OBI_0500013	no example found in pubmed->not in use in the community	separate		
661	image stream	OBI_0400054	"It has both components, an Image cytometer and a flow cytometer."	user		TODO: add restrictions
13392	imaging NMR probe	OBI_0000539	NMR device	separate		
13414	immortal cell	OBI_0100035	PRS: 22-02-2008: need to submit immortal to PATO	separate	delete	"delete - done PATO:0001991. TODO tracker to build XP
"
13421	immortal cell	OBI_0100035	added as hierarchy term	delete		
4048	immune epitope assay	OBI_1110128	"10/26/09, BP: Strictly speaking, the definition would exclude MHC ligand elution and binding assays. Need to either expand this definition in scope, or move out those subclasses."	user		
13795	immune response	GO#GO_0006955	import from GO	delete		
